RECHTSTRAEGER;QUARTAL;BEKANNTGABE;LEERMELDUNG;MEDIUM_MEDIENINHABER;EURO
Hauser Kaibling Seilbahn- und Liftgesellschaft m.b.H. & Co. KG.;20131;2;0;Kleine Zeitung;14894.12
Hauser Kaibling Seilbahn- und Liftgesellschaft m.b.H. & Co. KG.;20131;2;0;Kronen Zeitung;14113.2
Hauser Kaibling Seilbahn- und Liftgesellschaft m.b.H. & Co. KG.;20131;2;0;ORF Steiermark;6900
Hauser Kaibling Seilbahn- und Liftgesellschaft m.b.H. & Co. KG.;20131;2;0;ORF 2;10738.13
Hauser Kaibling Seilbahn- und Liftgesellschaft m.b.H. & Co. KG.;20131;2;0;ORF;7016
Hauser Kaibling Seilbahn- und Liftgesellschaft m.b.H. & Co. KG.;20131;2;0;Tips;24104.33
HYPO ALPE-ADRIA-BANK AG;20131;2;0;Kärntner Tageszeitung - KTZ;11006.1
HYPO ALPE-ADRIA-BANK AG;20131;2;0;Kärntner Woche;5651.53
HYPO ALPE-ADRIA-BANK AG;20131;2;0;Kleine Zeitung;9834.08
HYPO ALPE-ADRIA-BANK AG;20131;2;0;Kronen Zeitung;5269.5
Hypo Immobilien & Leasing GmbH;20131;2;0;Leben und Wohnen;6197.1
HYPO NOE Gruppe Bank AG;20131;2;0;a3ECO;6842.5
HYPO NOE Gruppe Bank AG;20131;2;0;diepresse.com;8000
HYPO NOE Gruppe Bank AG;20131;2;0;GELD-Magazin;5900
HYPO NOE Gruppe Bank AG;20131;2;0;Gesund + Leben in Niederösterreich;5644.42
HYPO NOE Gruppe Bank AG;20131;2;0;Heute;9177.1
HYPO NOE Gruppe Bank AG;20131;2;0;NÖ Gemeinde;6918.74
HYPO NOE Gruppe Bank AG;20131;2;0;NÖN;6311.24
HYPO NOE Gruppe Bank AG;20131;2;0;oe24.at;25000.08
HYPO NOE Gruppe Bank AG;20131;2;0;Österreich;7777.65
HYPO NOE Gruppe Bank AG;20131;2;0;unitycation.com online services gmbh;13000.01
HYPO NOE Gruppe Bank AG;20131;2;0;Wirtschaftsnachrichten Donauraum;5382.8
HYPO NOE Landesbank AG;20131;2;0;Gesund + Leben in Niederösterreich;11467.35
HYPO NOE Landesbank AG;20131;2;0;Meine Family;5500
HYPO NOE Landesbank AG;20131;2;0;NÖN;7573.5
HYPO TIROL BANK AG;20131;2;0;Bezirksblätter Tirol;6322.72
HYPO TIROL BANK AG;20131;2;0;Echo Tirol;7029.54
HYPO TIROL BANK AG;20131;2;0;Sitour Marketing GmbH;5952
HYPO TIROL BANK AG;20131;2;0;Tiroler Tageszeitung;33553.07
IG Immobilien Management GmbH;20131;2;0;Die Presse;5272
IG Immobilien Management GmbH;20131;2;0;Kurier;7812
Illwerke Seilbahn- Betriebsgesellschaft mbH;20131;2;0;Antenne Vorarlberg;5769.5
Illwerke Seilbahn- Betriebsgesellschaft mbH;20131;2;0;Montafon.TV;10000
Illwerke Seilbahn- Betriebsgesellschaft mbH;20131;2;0;ORF Radio Vorarlberg;9203.37
Illwerke Seilbahn- Betriebsgesellschaft mbH;20131;2;0;Radio 7;10700
Illwerke Seilbahn- Betriebsgesellschaft mbH;20131;2;0;Schwäbische Zeitung;7013.26
Illwerke Seilbahn- Betriebsgesellschaft mbH;20131;2;0;www.vol.at;6682.33
Innsbrucker Kommunalbetriebe Aktiengesellschaft;20131;2;0;Bezirksblätter Tirol;6539.5
Innsbrucker Kommunalbetriebe Aktiengesellschaft;20131;2;0;Echo;6391
Innsbrucker Kommunalbetriebe Aktiengesellschaft;20131;2;0;Innsbruck informiert;6801.28
Innsbrucker Kommunalbetriebe Aktiengesellschaft;20131;2;0;Kronen Zeitung;6623.73
Innsbrucker Kommunalbetriebe Aktiengesellschaft;20131;2;0;Tiroler Tageszeitung;17940.97
Innsbrucker Markthallen- Betriebsgesellschaft m.b.H.;20131;2;0;Bezirksblätter Tirol;5852.18
Innsbrucker Markthallen- Betriebsgesellschaft m.b.H.;20131;2;0;Tiroler Tageszeitung;9722.8
Innsbrucker Verkehrsbetriebe und Stubaitalbahn GmbH;20131;2;0;Otto Preminger-Institut Verein für audiovisuelle Mediengestaltung (OPI);6300
Innsbrucker Verkehrsbetriebe und Stubaitalbahn GmbH;20131;2;0;target group publishing gmbh, Zielgruppenverlag GmbH;12011.55
Innsbrucker Verkehrsbetriebe und Stubaitalbahn GmbH;20131;2;0;Tiroler Tageszeitung;8998.55
Johannes Kepler Universität Linz;20131;2;0;Bildungskatalog Kunststofftechnologie 2013;5250
Johannes Kepler Universität Linz;20131;2;0;Die Presse;5225
Johannes Kepler Universität Linz;20131;2;0;OÖ Nachrichten;9569.49
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;ARD Bayern im Ersten;63487.26
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Bayern 3;66630.86
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Bayern 5;18380.72
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Die Zeit;17955
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Kurier;18207
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;germanwings.com;15000
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;google.at;7330
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;google.cz;5010
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;google.de;9830
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;google.hu;7000
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;google.it;5010
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;google.nl;6070
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;google.pl;5010
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Kleine Zeitung;34978.76
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Kurier;30068.07
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;m4effect;8500
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;National Geographic;40018.6
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;OÖ Nachrichten;5349.48
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;ORF TV;19679.63
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Ö3;78277.43
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Radio Superfly;10369.8
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Roadbike;7650
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;schneehoehen.de;5006.5
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Servus TV;60956.73
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Sport Aktiv Magazin;21000
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Süddeutsche Zeitung;19477.5
Kärnten Werbung Marketing & Innovationsmanagement GesmbH;20131;2;0;Welt am Sonntag;18792
Kärntner Flughafen Betriebsgesellschaft mit beschränkter Haftung;20131;2;0;Kleine Zeitung;5297.35
Kärntner Gebietskrankenkasse;20131;2;0;Kärntner Woche;5760.43
Kammer der Architekten und Ingenieurkonsulenten für Oberösterreich und Salzburg;20131;2;0;ORF Salzburg;10000
Kammer der Wirtschaftstreuhänder;20131;2;0;Kurier;7423.88
Kammer für Arbeiter und Angestellte für das Burgenland ;20131;2;0;ORF Radio Burgenland;15991.2
Kammer für Arbeiter und Angestellte für Kärnten;20131;2;0;Kleine Zeitung;12105.36
Kammer für Arbeiter und Angestellte für Niederösterreich;20131;2;0;Heute;11051.5
Kammer für Arbeiter und Angestellte für Niederösterreich;20131;2;0;ORF Niederösterreich;11666.2
Kammer für Arbeiter und Angestellte für Niederösterreich;20131;2;0;ORF Radio Niederösterreich;5636
Kammer für Arbeiter und Angestellte für Niederösterreich;20131;2;0;WNTV;9150
Kammer für Arbeiter und Angestellte für Oberösterreich;20131;2;0;Heute;5800
Kammer für Arbeiter und Angestellte für Oberösterreich;20131;2;0;Kronehit;10522
Kammer für Arbeiter und Angestellte für Oberösterreich;20131;2;0;Kronen Zeitung;11240
Kammer für Arbeiter und Angestellte für Oberösterreich;20131;2;0;Life Radio;11360.25
Kammer für Arbeiter und Angestellte für Oberösterreich;20131;2;0;OÖ Nachrichten;13219.2
Kammer für Arbeiter und Angestellte für Oberösterreich;20131;2;0;ORF Radio Oberösterreich;11722.78
Kammer für Arbeiter und Angestellte für Oberösterreich;20131;2;0;ORF Radio Oberösterreich;14971.9
Kammer für Arbeiter und Angestellte für Salzburg;20131;2;0;Kronen Zeitung;29249.68
Kammer für Arbeiter und Angestellte für Salzburg;20131;2;0;ORF Salzburg;11000
Kammer für Arbeiter und Angestellte für Salzburg;20131;2;0;Salzburger Nachrichten;29027.02
Kammer für Arbeiter und Angestellte für Steiermark;20131;2;0;Antenne Steiermark;14462.78
Kammer für Arbeiter und Angestellte für Steiermark;20131;2;0;Kleine Zeitung;12411.36
Kammer für Arbeiter und Angestellte für Steiermark;20131;2;0;Kronen Zeitung;19394.3
Kammer für Arbeiter und Angestellte für Steiermark;20131;2;0;ORF Steiermark;7894.8
Kammer für Arbeiter und Angestellte für Steiermark;20131;2;0;Radio Soundportal;6000
Kammer für Arbeiter und Angestellte für Steiermark;20131;2;0;RMA/Grazer Woche;7019.05
Kammer für Arbeiter und Angestellte für Steiermark;20131;2;0;Weekend Magazin;5165
Kammer für Arbeiter und Angestellte für Tirol;20131;2;0;basics;21873
Kammer für Arbeiter und Angestellte für Tirol;20131;2;0;Kronen Zeitung;10536.32
Kammer für Arbeiter und Angestellte für Tirol;20131;2;0;ORF Radio Tirol;12404.1
Kammer für Arbeiter und Angestellte für Tirol;20131;2;0;Tiroler Tageszeitung;19007.17
Kammer für Arbeiter und Angestellte für Vorarlberg;20131;2;0;Feldkircher Anzeiger;5605
Kammer für Arbeiter und Angestellte für Vorarlberg;20131;2;0;ORF Vorarlberg;20207
Kammer für Arbeiter und Angestellte für Vorarlberg;20131;2;0;vol.at;25320
Kammer für Arbeiter und Angestellte für Vorarlberg;20131;2;0;Vorarlberger Nachrichten;67602.69
Kammer für Arbeiter und Angestellte für Wien;20131;2;0;bz - Wiener Bezirkszeitung;6500
Kammer für Arbeiter und Angestellte für Wien;20131;2;0;Falter;11906
Kammer für Arbeiter und Angestellte für Wien;20131;2;0;Heute;17364
Kammer für Arbeiter und Angestellte für Wien;20131;2;0;Infoscreen;31767.92
Kammer für Arbeiter und Angestellte für Wien;20131;2;0;Kronen Zeitung;57757
Kammer für Arbeiter und Angestellte für Wien;20131;2;0;Österreich;48264.72
Kammer für Arbeiter und Angestellte für Wien;20131;2;0;ORF Radio Wien;11500
Kammer für Arbeiter und Angestellte für Wien;20131;2;0;Wien Heute;18500
Kammer für Arbeiter und Angestellte für Wien;20131;2;0;Xpress;6961.5
Karree St. Marx GmbH;20131;2;0;Der Standard;18464.29
Karree St. Marx GmbH;20131;2;0;Die Presse;21045.85
Karree St. Marx GmbH;20131;2;0;GEWINN;10329.2
Karree St. Marx GmbH;20131;2;0;Immobilien Investment Österreich;5066
Karree St. Marx GmbH;20131;2;0;Immobilien Magazin;8319.37
Karree St. Marx GmbH;20131;2;0;Kleine Zeitung;9000
Karree St. Marx GmbH;20131;2;0;Kronen Zeitung;5996.25
Karree St. Marx GmbH;20131;2;0;Kurier;17215.55
Karree St. Marx GmbH;20131;2;0;orf.at;7202.83
Karree St. Marx GmbH;20131;2;0;trend;11990.6
Karree St. Marx GmbH;20131;2;0;WirtschaftsBlatt;15130.17
KELAG Netz GmbH;20131;2;0;Energie aus Kärnten;9032.8
KELAG Wärme GmbH;20131;2;0;Media 4 Jobs;5453.8
KELAG-Kärntner Elektrizitäts- Aktiengesellschaft;20131;2;0;advantage;5718.8
KELAG-Kärntner Elektrizitäts- Aktiengesellschaft;20131;2;0;Antenne Kärnten;6900
KELAG-Kärntner Elektrizitäts- Aktiengesellschaft;20131;2;0;Der Standard;5250
KELAG-Kärntner Elektrizitäts- Aktiengesellschaft;20131;2;0;Die Brücke;13020
KELAG-Kärntner Elektrizitäts- Aktiengesellschaft;20131;2;0;Kärnten Journal;5040
KELAG-Kärntner Elektrizitäts- Aktiengesellschaft;20131;2;0;Kärntner Regionalmedien;16927.4
KELAG-Kärntner Elektrizitäts- Aktiengesellschaft;20131;2;0;Kleine Zeitung;9451
KELAG-Kärntner Elektrizitäts- Aktiengesellschaft;20131;2;0;Radio Kärnten;9600
Klagenfurt Marketing GmbH;20131;2;0;L2 Werbeagentur GmbH;23136
Klagenfurter Messe Betriebsgesellschaft m.b.H.;20131;2;0;Antenne Kärnten;5213.25
Klagenfurter Messe Betriebsgesellschaft m.b.H.;20131;2;0;GASTRO;5775
Klagenfurter Messe Betriebsgesellschaft m.b.H.;20131;2;0;Kärntner Woche;9938.74
Klagenfurter Messe Betriebsgesellschaft m.b.H.;20131;2;0;Kleine Zeitung;49121.18
Klagenfurter Messe Betriebsgesellschaft m.b.H.;20131;2;0;Kronen Zeitung;14882.91
Klagenfurter Messe Betriebsgesellschaft m.b.H.;20131;2;0;ÖGZ;10462.48
Klima- und Energiefonds;20131;2;0;Kronen Zeitung;33730.16
Klima- und Energiefonds;20131;2;0;Mediaplanet GmbH;21590
Klima- und Energiefonds;20131;2;0;Österreich;32760
Kommunalkredit Austria AG;20131;2;0;Kommunal;10277.94
Kommunalkredit Austria AG;20131;2;0;public;5395.16
Kommunalkredit Austria AG;20131;2;0;RFG Recht & Finanzen für Gemeinden;6136.46
KSB - Kultur-Service Burgenland GmbH;20131;2;0;Mediaprint;19368.11
Kultur Service Gesellschaft mbH des Landes Steiermark;20131;2;0;Falter Steiermark;8000
Kunsthalle Wien GmbH;20131;2;0;Monopol;6000
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;ATV;11305
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;Kabel 1 austria;14125.3
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;ORF III;5121.32
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;ORF 2;15000
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;ORF 2;102697
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;ProSieben Austria;16201.85
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;Puls 4;15368.85
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;RTL;15774.64
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;SAT.1 Österreich;19664.75
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;skylines;8190
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;VOR Magazin;11900
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;VOX;9715.16
Kunsthistorisches Museum mit Museum für Völkerkunde und österreichischem Theatermuseum;20131;2;0;Wien Live;5145
KUNSTMEILE KREMS Betriebsgesellschaft m.b.H.;20131;2;0;Die Presse;13403
KUNSTMEILE KREMS Betriebsgesellschaft m.b.H.;20131;2;0;Heute;45000
KUNSTMEILE KREMS Betriebsgesellschaft m.b.H.;20131;2;0;Österreich;10000
Kurbad Tatzmannsdorf Aktiengesellschaft;20131;2;0;Wiener Bezirksblatt GmbH;18000
Land Burgenland;20131;2;0;Bezirksblätter Burgenland;13779.83
Land Burgenland;20131;2;0;BVZ;14093.1
Land Burgenland;20131;2;0;Kronen Zeitung;17815.12
Land Burgenland;20131;2;0;Schau TV;10741.64
Land Kärnten;20131;2;0;Kärntner Tageszeitung - KTZ;20164.78
Land Kärnten;20131;2;0;Kärntner Woche;36083.42
Land Kärnten;20131;2;0;Kronen Zeitung;20449.95
Land Kärnten;20131;2;0;ORF Kärnten;12000
Land Niederösterreich;20131;2;0;Bau Perfekt;7245
Land Niederösterreich;20131;2;0;Bezirksblätter Niederösterreich;42468.07
Land Niederösterreich;20131;2;0;Der Standard;17438
Land Niederösterreich;20131;2;0;Die Presse;12358.75
Land Niederösterreich;20131;2;0;ExtraDienst;15000
Land Niederösterreich;20131;2;0;Fertighaus Träume;7089
Land Niederösterreich;20131;2;0;GEWINN;10000
Land Niederösterreich;20131;2;0;Heute;58964.16
Land Niederösterreich;20131;2;0;kommunalnet.at;5990
Land Niederösterreich;20131;2;0;Kronehit;7527.94
Land Niederösterreich;20131;2;0;Kronen Zeitung;73268.15
Land Niederösterreich;20131;2;0;Kurier;30601.52
Land Niederösterreich;20131;2;0;Musiksender 88.6;7000
Land Niederösterreich;20131;2;0;NÖN;312894.6
Land Niederösterreich;20131;2;0;ORF Enterprise GesmbH & Co KG;21250
Land Niederösterreich;20131;2;0;ORF Niederösterreich;22350
Land Niederösterreich;20131;2;0;Österreich;51382.81
Land Niederösterreich;20131;2;0;Radio Arabella;5903.1
Land Niederösterreich;20131;2;0;stadtlandzeitung;5844.75
Land Niederösterreich;20131;2;0;Wiener Neustadt TV;9800
Land Niederösterreich;20131;2;0;WirtschaftsBlatt;6457.5
Land Oberösterreich;20131;2;0;Österreichische Bauernzeitung;14360.96
Land Oberösterreich;20131;2;0;Bezirksrundschau;16310.36
Land Oberösterreich;20131;2;0;BTV Salzkammergut;11000
Land Oberösterreich;20131;2;0;BTV Vöcklabruck;9400
Land Oberösterreich;20131;2;0;Chefinfo;7300
Land Oberösterreich;20131;2;0;City! Magazin;11930.59
Land Oberösterreich;20131;2;0;Computer & Automation;10730
Land Oberösterreich;20131;2;0;Der Standard;5453.09
Land Oberösterreich;20131;2;0;Die Oberösterreicherin;6100
Land Oberösterreich;20131;2;0;Extra Blick;12950
Land Oberösterreich;20131;2;0;Hallo Oberösterreich/Landl;10491
Land Oberösterreich;20131;2;0;Heute;6616.92
Land Oberösterreich;20131;2;0;HT1 Grieskirchen/Eferding;5361.53
Land Oberösterreich;20131;2;0;Kronen Zeitung;32061.52
Land Oberösterreich;20131;2;0;Kurier;12327.01
Land Oberösterreich;20131;2;0;Life Radio;43842.03
Land Oberösterreich;20131;2;0;Linzider;5508
Land Oberösterreich;20131;2;0;LT1;13771.25
Land Oberösterreich;20131;2;0;moments;10350
Land Oberösterreich;20131;2;0;Neues Volksblatt;39242.38
Land Oberösterreich;20131;2;0;OÖ Nachrichten;77815.41
Land Oberösterreich;20131;2;0;ORF;35946.77
Land Oberösterreich;20131;2;0;Österreich;7309.19
Land Oberösterreich;20131;2;0;Scope;13986
Land Oberösterreich;20131;2;0;Tips;36274.9
Land Oberösterreich;20131;2;0;Wir > 50 Unsere Generation;9900
Land Oberösterreich;20131;2;0;Weekend Magazin;12917
Land Oberösterreich;20131;2;0;Zeitschrift Informativ;6800
Land Salzburg;20131;2;0;Bezirksblätter Salzburg;5656.64
Land Salzburg;20131;2;0;ORF;10058
Land Salzburg;20131;4;0;Literaturforum Leselampe;10000
Land Salzburg;20131;4;0;Otto Müller Verlag;18200
Land Steiermark;20131;2;0;Antenne Steiermark;18993.79
Land Steiermark;20131;2;0;der Grazer/Grazerin;11530
Land Steiermark;20131;2;0;JOURNAL GRAZ;11504
Land Steiermark;20131;2;0;Landwirtschaftliche Mitteilungen;10842.26
Land Steiermark;20131;2;0;Liezener Bezirksnachrichten;5122
Land Steiermark;20131;2;0;Meine Steirische;6700
Land Steiermark;20131;2;0;Obersteirische Rundschau;6314
Land Steiermark;20131;2;0;Soundportal Graz GmbH;8969.49
Land Steiermark;20131;2;0;Süd-Ost Journal;10500
Land Steiermark;20131;2;0;Weekend Magazin;21365.3
Land Steiermark;20131;2;0;Wirtschaftsnachrichten Süd;15720
Land Steiermark;20131;2;0;WM Zeitschriftenverlag;10111
Land Steiermark;20131;2;0;Woche Steiermark;25799.96
Land Steiermark;20131;4;0;Steirischer Landesverband Elternvereine;7000
Land Steiermark;20131;4;0;Steirisches Volksliedwerk;19729
Land Tirol;20131;2;0;ORF Tirol;15000
Land Tirol;20131;2;0;Tiroler Bezirksblätter;18948.18
Land Tirol;20131;2;0;Tiroler Krone;11013
Land Tirol;20131;2;0;Tiroler Tageszeitung Print;31988.37
Land Tirol;20131;4;0;Verein Freies Radio Innsbruck;15000
Land Tirol;20131;4;0;Verein Naturpark Tiroler Lech;16083.33
Land Vorarlberg;20131;2;0;Neue Vorarlberger Tageszeitung;5424
Land Vorarlberg;20131;2;0;ORF Vorarlberg;19950
Land Vorarlberg;20131;2;0;Vorarlberg Online medienhaus.com;16344
Land Vorarlberg;20131;2;0;Vorarlberger Nachrichten;38278
Land Vorarlberg;20131;2;0;Wann & Wo;12046
Land Vorarlberg;20131;4;0;KULTUR - Zeitschrift für Kultur und Gesellschaft;23325
Landarbeiterkammer Tirol;20131;2;0;Der Landarbeiter;6550
Landeskrankenanstalten-Betriebsgesellschaft - KABEG;20131;2;0;ORF Landesstudio Service GmbH & CoKG, Niederlassung Kärnten;13000
Landesverband Burgenland Tourismus;20131;2;0;Google;15849.78
Landesverband Burgenland Tourismus;20131;2;0;Kleine Zeitung;17319.05
Landesverband Burgenland Tourismus;20131;2;0;Kurier;15890.06
Landesverband Burgenland Tourismus;20131;2;0;NÖN;11157.14
Landesverband Burgenland Tourismus;20131;2;0;OÖ Nachrichten;14474.47
Landesverband Burgenland Tourismus;20131;2;0;ORF;14666.67
Landesverband Burgenland Tourismus;20131;2;0;Welt Gruppe;5900
Landwirtschaftskammer Niederösterreich;20131;2;0;Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H.;5948.25
Landwirtschaftskammer Niederösterreich;20131;2;0;Österreichischer Agrarverlag Druck- und Verlags Gesm.b.H. Nfg. KG;5001
Landwirtschaftskammer Steiermark;20131;2;0;Kleine Zeitung;9653.28
Landwirtschaftskammer Steiermark;20131;2;0;Druck Styria GmbH & Co KG;27532.63
Landwirtschaftskammer Steiermark;20131;2;0;Mediaprint GmbH & Co KG;12298.65
Landwirtschaftskammer Steiermark;20131;2;0;Neues Land Mediengesellschaft mbH;5856.3
LAWOG, Gemeinnützige Landeswohnungsgenossenschaft für Oberösterreich, eingetragene Genossenschaft m.b.H.;20131;2;0;City! Magazin;5360
LINZ AG für Energie, Telekommunikation, Verkehr und Kommunale Dienste;20131;2;0;LT1;7596
LINZ AG für Energie, Telekommunikation, Verkehr und Kommunale Dienste;20131;2;0;Magistrat der Landeshauptstadt Linz;15606.58
LINZ LINIEN GmbH für öffentlichen Personennahverkehr;20131;2;0;Heute;6723
LINZ LINIEN GmbH für öffentlichen Personennahverkehr;20131;2;0;Tips;5280.21
LINZ SERVICE GmbH für Infrastruktur und Kommunale Dienste;20131;2;0;OÖ Nachrichten;7500
LINZ STROM GmbH für Energieerzeugung, -handel, -dienstleistung und Telekommunikation;20131;2;0;OÖ Nachrichten;9397.17
LINZ STROM Vertrieb GmbH & Co KG;20131;2;0;OÖ Nachrichten;11613.31
Linzer Veranstaltungsgesellschaft m.b.H.;20131;2;0;Lebendiges Linz;8799.68
Linzer Veranstaltungsgesellschaft m.b.H.;20131;2;0;OÖ Nachrichten;17748.91
Münze Österreich Aktiengesellschaft;20131;2;0;Amazon EU S.a.r.L. / Moosacher Straße 51;10586.33
Münze Österreich Aktiengesellschaft;20131;2;0;Google Abrufdienst;14116.51
Münze Österreich Aktiengesellschaft;20131;2;0;GroupM OG;27175.05
Münze Österreich Aktiengesellschaft;20131;2;0;httpool Online Markting gmbH;6000.48
Münze Österreich Aktiengesellschaft;20131;2;0;Kabel 1 austria;20991.6
Münze Österreich Aktiengesellschaft;20131;2;0;kleinezeitung.at;10448.01
Münze Österreich Aktiengesellschaft;20131;2;0;Kronen Zeitung;151828.18
Münze Österreich Aktiengesellschaft;20131;2;0;krone.at;6647.5
Münze Österreich Aktiengesellschaft;20131;2;0;MÜNZEN&SAMMELN, H. GIETL VERLAG & / PUBLIKATIONSSERVICE GMBH;5184.57
Münze Österreich Aktiengesellschaft;20131;2;0;NETWORLD.at;9999.14
Münze Österreich Aktiengesellschaft;20131;2;0;ONRAIL, Bohmann Druck und Verlag / GmbH & Co.KG.;6222
Münze Österreich Aktiengesellschaft;20131;2;0;ORF-Jahreszeiten Patronanzen;17610
Münze Österreich Aktiengesellschaft;20131;2;0;Österreichischer Rundfunk;73106.97
Münze Österreich Aktiengesellschaft;20131;2;0;ORF;121465
Münze Österreich Aktiengesellschaft;20131;2;0;ProSieben Austria;11785.2
Münze Österreich Aktiengesellschaft;20131;2;0;Puls 4;21012
Münze Österreich Aktiengesellschaft;20131;2;0;Russmedia Digital GmbH;7006.46
Münze Österreich Aktiengesellschaft;20131;2;0;SAT.1 Österreich;18929.48
Münze Österreich Aktiengesellschaft;20131;2;0;SERVUS TV, Red Bull Media House GmbH;8633.6
Münze Österreich Aktiengesellschaft;20131;2;0;TELE, tele Zeitschriftenverlags- / ges.m.b.H. & Co. KG;16320
Münze Österreich Aktiengesellschaft;20131;2;0;VIA - FLUGHAFEN WIEN / Vienna International Airport;81243.36
MAK - Österreichisches Museum für angewandte Kunst;20131;2;0;Kurier;8278.2
MAK - Österreichisches Museum für angewandte Kunst;20131;2;0;skylines;5250
Marchfeldschlösser Revitalisierungs- und Betriebsgesellschaft m.b.H.;20131;2;0;Infoscreen;9714.3
MCI Management Center Innsbruck Internationale Hochschule GmbH;20131;2;0;Der Standard;33813
MCI Management Center Innsbruck Internationale Hochschule GmbH;20131;2;0;Die Presse;30830.99
MCI Management Center Innsbruck Internationale Hochschule GmbH;20131;2;0;Echo;5239.5
MCI Management Center Innsbruck Internationale Hochschule GmbH;20131;2;0;Google;17104.02
MCI Management Center Innsbruck Internationale Hochschule GmbH;20131;2;0;Low Cost Media;9478.59
MCI Management Center Innsbruck Internationale Hochschule GmbH;20131;2;0;Salzburger Nachrichten;18525.26
MCI Management Center Innsbruck Internationale Hochschule GmbH;20131;2;0;Süddeutsche Zeitung;16156.8
MCI Management Center Innsbruck Internationale Hochschule GmbH;20131;2;0;Tiroler Tageszeitung;16937.27
MCI Management Center Innsbruck Internationale Hochschule GmbH;20131;2;0;Vorarlberger Nachrichten;14440
Medizinische Universität Graz;20131;2;0;Kleine Zeitung;5593.4
Medizinische Universität Wien;20131;2;0;Die Presse;14532.44
Messe Congress Graz Betriebsgesellschaft m.b.H.;20131;2;0;Antenne Steiermark;8925
Messe Congress Graz Betriebsgesellschaft m.b.H.;20131;2;0;Der Anblick;6894.3
Messe Congress Graz Betriebsgesellschaft m.b.H.;20131;2;0;der Grazer;9660
Messe Congress Graz Betriebsgesellschaft m.b.H.;20131;2;0;Grazer Woche;17850
Messe Congress Graz Betriebsgesellschaft m.b.H.;20131;2;0;Kleine Zeitung;61276.01
Messe Congress Graz Betriebsgesellschaft m.b.H.;20131;2;0;Mucha Verlag (ExtraDienst + Faktum);5985
Messe Congress Graz Betriebsgesellschaft m.b.H.;20131;2;0;ORF Radio Steiermark;22169.14
Messe Congress Graz Betriebsgesellschaft m.b.H.;20131;2;0;Steirerkrone;27406.23
Messe Congress Graz Betriebsgesellschaft m.b.H.;20131;2;0;Weekend Magazin;16984.28
Messe Congress Graz Betriebsgesellschaft m.b.H.;20131;2;0;Wirtschaftsnachrichten;6279
MESSE Tulln GmbH;20131;2;0;Bezirksblätter Niederösterreich;6040
MESSE Tulln GmbH;20131;2;0;Heute;25015
